scene,hausdorff_dist,avg_hausdorff,mean_abs_dist,num_pred_edge_pts,num_gt_edge_pts
Sentinel2_Wainwright_AK_20190301,2889.23536597488,1070.3429382592558,544.2932055313396,445045,10406
Sentinel2_Wainwright_AK_20220310,1643.9893551966813,334.18706562429855,180.60593759850875,129246,12669
Sentinel2_Wainwright_AK_20220418,418.60721446243616,48.271030173227246,40.06369518844795,21300,12535
Sentinel2_Wainwright_AK_20230423,2026.7276580734767,759.3473138122549,394.72544056341286,101420,12872
Sentinel2_Wainwright_AK_20240306,1941.7891234632045,498.53281786206304,263.02128881243135,72111,13073
Sentinel2_Arviat_NU_20200312,2292.883773766128,647.2746467224913,357.04173498513455,63280,21195
Sentinel2_Arviat_NU_20240303,461.5668965599678,57.0077639668675,53.997553874271645,27630,20748
Sentinel2_Arviat_NU_20240326,343.0,32.812130682841705,44.87942451482598,23068,22164
Sentinel2_Arviat_NU_20240415,2535.49068229406,530.41538874298,286.9665377447863,164027,22279
Sentinel2_Arviat_NU_20240427,2487.574923494768,1002.8145163931217,540.9885921277142,64923,23461
Sentinel2_Barrow_AK_20220401,3187.2001819779066,1438.609138484385,742.9637429231857,305693,12290
